Target,att1,att2,att3,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15
1139,140,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
1143,200,20,40,1,10,26.6,44.0,960,0.5,9.286,100,2700,7200
1154,200,20,40,1,10,26.6,44.0,360,0.5,9.286,100,2700,7200
1155,130,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
1165,200,20,40,1,10,26.6,44.0,780,0.5,9.286,100,2700,7200
1169,100,20,70,1,10,24.4,35.0,1800,1.0,9.286,100,2700,7200
1259,200,20,40,1,10,24.1,43.0,1800,0.5,9.286,100,2700,7200
1288,200,20,40,1,10,24.1,43.0,1800,0.5,9.286,100,2700,7200
1292,200,20,40,1,10,24.1,43.0,1800,0.5,9.286,100,2700,7200
1341,200,20,40,1,10,26.6,44.0,900,0.5,9.286,100,2700,7200
1345,200,20,40,1,10,24.1,43.0,1800,0.5,9.286,100,2700,7200
1360,120,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
1373,200,20,40,1,10,26.6,44.0,840,0.5,9.286,100,2700,7200
1384,110,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
1517,100,20,40,1,10,24.4,35.0,1800,1.0,9.286,100,2700,7200
1517,100,20,50,1,10,24.4,35.0,1800,1.0,9.286,100,2700,7200
1534,90,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
1538,100,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
1580,200,20,40,1,10,26.6,44.0,720,0.5,9.286,100,2700,7200
1582,200,20,40,1,10,24.1,43.0,900,0.5,9.286,100,2700,7200
1605,200,20,40,1,10,26.6,44.0,420,0.5,9.286,100,2700,7200
1655,70,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
1655,80,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
1673,60,20,40,1,10,27.2,38.0,1800,0.5,9.286,100,2700,7200
1707,100,20,90,1,10,23.0,45.0,1800,1.0,12.736,100,2700,7200
1735,200,20,40,1,10,26.6,44.0,420,0.5,9.286,100,2700,7200
1811,200,20,40,1,10,26.6,44.0,600,0.5,9.286,100,2700,7200
1834,100,20,30,1,10,24.4,35.0,1800,1.0,9.286,100,2700,7200
1854,100,20,80,1,10,23.0,45.0,1800,1.0,12.736,100,2700,7200
