Target,att1,att2,att3,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15
735,300,20,40,1,10,23.4,43,1380,0.25,6.251,100,2700,7200
743,300,20,40,1,10,23.4,43,1320,0.25,6.251,100,2700,7200
758,300,20,40,1,10,23.4,43,1260,0.25,6.251,100,2700,7200
760,300,20,40,1,10,23.4,43,1200,0.25,6.251,100,2700,7200
764,300,20,40,1,10,23.4,43,1140,0.25,6.251,100,2700,7200
783,300,20,40,1,10,23.4,43,1020,0.25,6.251,100,2700,7200
785,300,20,40,1,10,23.4,43,960,0.25,6.251,100,2700,7200
794,300,20,40,1,10,23.4,43,840,0.25,6.251,100,2700,7200
795,300,20,40,1,10,23.4,43,900,0.25,6.251,100,2700,7200
804,300,20,40,1,10,23.4,43,780,0.25,6.251,100,2700,7200
813,300,20,40,1,10,23.4,43,720,0.25,6.251,100,2700,7200
826,300,20,40,1,10,23.4,43,660,0.25,6.251,100,2700,7200
831,290,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
836,300,20,40,1,8,22.3,47,1800,0.25,6.251,100,2700,7200
838,300,20,40,1,10,23.4,43,600,0.25,6.251,100,2700,7200
840,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
840,300,20,40,1,10,23.4,43,540,0.25,6.251,100,2700,7200
842,300,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
842,300,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
842,300,20,40,1,10,23.4,43,480,0.25,6.251,100,2700,7200
846,280,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
847,300,20,40,1,9,22.3,47,1800,0.25,6.251,100,2700,7200
858,300,20,40,1,10,23.4,43,420,0.25,6.251,100,2700,7200
859,270,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
863,300,20,40,1,7,22.3,47,1800,0.25,6.251,100,2700,7200
865,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
872,300,20,40,1,6,22.3,47,1800,0.25,6.251,100,2700,7200
878,300,20,40,1,5,22.3,47,1800,0.25,6.251,100,2700,7200
879,260,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
881,300,20,40,1,4,22.3,47,1800,0.25,6.251,100,2700,7200
886,300,20,40,1,3,22.3,47,1800,0.25,6.251,100,2700,7200
888,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
888,300,20,40,1,2,22.3,47,1800,0.25,6.251,100,2700,7200
894,300,20,40,1,1,22.3,47,1800,0.25,6.251,100,2700,7200
895,250,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
904,240,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
915,230,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
919,220,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
923,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
930,210,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
931,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
936,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
938,190,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
945,180,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
945,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
959,170,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
962,160,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
967,150,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
970,140,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
973,130,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
974,120,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
975,110,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
982,100,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
985,90,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
987,80,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
988,70,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
990,60,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
990,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
1000,50,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
1016,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
1048,40,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
1052,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
1057,30,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
1065,20,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
1071,10,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
1087,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
1099,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,600
1100,200,20,40,1,10,22.3,47,1800,0.25,6.251,100,2700,7200
1108,100,20,40,1,10,23.4,43,1800,0.25,6.251,100,2700,1200
